Description:,Source:,Native Frequency:,Geography:,1997Q1,1997Q2,1997Q3,1997Q4,1998Q1,1998Q2,1998Q3,1998Q4,1999Q1,1999Q2,1999Q3,1999Q4,2000Q1,2000Q2,2000Q3,2000Q4,2001Q1,2001Q2,2001Q3,2001Q4,2002Q1,2002Q2,2002Q3,2002Q4,2003Q1,2003Q2,2003Q3,2003Q4,2004Q1,2004Q2,2004Q3,2004Q4,2005Q1,2005Q2,2005Q3,2005Q4,2006Q1,2006Q2,2006Q3,2006Q4,2007Q1,2007Q2,2007Q3,2007Q4,2008Q1,2008Q2,2008Q3,2008Q4,2009Q1,2009Q2,2009Q3,2009Q4,2010Q1,2010Q2,2010Q3,2010Q4,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3
"National Accounts: Real Gross Domestic Product [GDP], (Bil. 2010 EUR, SAAR)",Brazilian Institute of Geography and Statistics (IBGE); Moody's Analytics Forecasted,QUARTERLY,Brazil,1084.33,1094.18,1105.72,1114.67,1094.5,1110.27,1111.2,1098.44,1101.83,1105.4,1106.09,1122.09,1134.55,1149.17,1164.23,1179.13,1181.63,1175.71,1170.92,1166.95,1192.24,1202.54,1214.53,1227.72,1223.28,1211.64,1222.28,1236,1254.05,1287.75,1302.44,1313.9,1322.42,1344.62,1330.14,1349.68,1371.82,1374.7,1397.12,1415.12,1442.39,1464.2,1479.74,1502.06,1518.66,1556.87,1576.24,1517.51,1499.54,1522.47,1558.65,1598.72,1636.44,1651.85,1667.38,1690.83,1718.5,1730.23,1727.43,1744.54,1722.02,1748.39,1781.15,1779.76,1787.11,1819.91,1822.98,1825.69,1845.37,1812.75,1813.14,1822.39,1812.16,1764.04,1736.55,1723.16,1695.15,1708.11,1693.99,1693.43,1711.63,1722.24,1729.39,1738.45,1743.06,1750.87,1764.22,1757.75,1766.25,1772.41,1774.24,1788.86,1749.91,1593.24,1720.5,1783.56,1802.29,1789.97,1793.42,1810.65,1828.37,1852.11,1871.6,1869.42,1896.33,1915.01,1917.78
"National Accounts: Real Gross Domestic Product [GDP], (Bil. 2010 EUR, SAAR)",Statistics Canada; Moody's Analytics Forecasted,QUARTERLY,Canada,866.79,876.54,886.94,895.51,908.15,908.63,916.91,929.33,946.11,953.92,968.87,982.44,997.83,1009.57,1019.92,1021.94,1027.69,1030.92,1030.19,1036.37,1051.53,1057.74,1066.89,1072.75,1078.71,1077.15,1081.18,1088.61,1096.53,1109.52,1122.64,1130.74,1134.7,1142.9,1156.75,1168.24,1177.72,1178.31,1181.63,1186.33,1193.91,1205.44,1209.95,1211.54,1212.45,1216.87,1226.87,1212.63,1185.27,1172.48,1177.73,1191.41,1205.85,1212.16,1220.65,1234.34,1243.74,1246,1263.05,1273.08,1273.89,1278.03,1279.78,1282.41,1293.89,1301.34,1312.04,1325.77,1328.01,1340.12,1352.97,1362.32,1354.73,1351.03,1355.87,1356.77,1364.8,1358,1372.09,1379.79,1397.15,1411.86,1412.3,1419.47,1435.97,1447.17,1454.47,1457.89,1461.4,1477.4,1481.53,1485.76,1456.79,1296.55,1414.32,1440.88,1461.63,1457.07,1481.55,1504.8,1519.27,1533.54,1540.57,1537.25,1546.63,1551.87,1547.73
"National Accounts: Real Gross Domestic Product [GDP], (Bil. 2010 EUR, SAAR)",Statistics Denmark; Moody's Analytics Forecasted,QUARTERLY,Denmark,203.81,207.31,206.72,206.7,209.81,208.23,212.05,212.73,214.66,215.77,217.1,220.14,222.29,224.82,225.44,227.64,225.17,226.27,228.3,227.85,227.77,227.75,228.53,227.77,228.99,226.86,227.64,231.88,233,234.39,234.94,237.48,236.62,241.28,241.54,242.33,245.37,252.69,251.01,250.33,251.16,250.03,252.38,254.92,254.81,252.46,250.99,245.06,241.57,236.89,237.71,237.92,239.98,241.62,245.45,244.9,245.43,247.89,244.81,246.81,246.64,246.82,247.05,246.66,248.05,248.23,249.8,250.3,250.94,250.76,254.95,255.87,257.62,258.83,259.61,260.18,263.18,266.74,269.01,270.94,272.72,275.76,274.75,276.83,278.25,279.64,281.33,282.73,282.12,284.95,286.25,285.38,282.06,265.01,280.67,283.36,286.56,295.33,299.41,305.85,301.57,304.6,306.5,306.9,309.68,307.51,305.51
"National Accounts: Real Gross Domestic Product [GDP], (Bil. 2010 EUR, SAAR)",Ministry of Statistics and Programme Implementation (MOSPI); Moody's Analytics Forecasted,QUARTERLY,India,490.74,487.21,488.94,504.37,513.29,518.42,526.39,532.67,541.11,558.99,567.21,569.23,580.3,588.43,604.31,591.23,602.06,610.71,610.28,630.1,638.68,642.16,642.08,643.21,657.88,674.54,692.67,716.37,715.68,733.53,759.19,751.6,786.11,802.26,823.23,820.28,858.17,863.02,891.89,920.68,942.47,955.96,973.32,1018.23,1025.86,1032.66,1038.61,1034.16,1029.23,1080.21,1107.99,1117.31,1163.88,1196.81,1221.15,1243.67,1297.51,1282.41,1264.21,1318.34,1355.06,1344.54,1357.05,1389.83,1427.65,1418.16,1430.28,1505.74,1504.93,1528.81,1555.05,1597.29,1610.04,1658.07,1675.3,1705.25,1755.19,1798.19,1842.56,1852.01,1849.35,1946.97,1967.57,1930.7,1994.71,2133.63,2081.79,2045.94,2104.98,2246.36,2169.58,2114.68,2160.91,1726.66,2043.28,2150.57,2228.12,2104.67,2227.06,2264.96,2310.18,2386.5,2362.76,2367.94,2446.6,2577.23,2540.74
"National Accounts: Real Gross Domestic Product [GDP], (Bil. 2010 EUR, SAAR)",Economic and Social Research Institute - Japan; Moody's Analytics Forecasted,QUARTERLY,Japan,4077.69,4047.44,4055.42,4056.81,4007.35,3989.86,3997.08,4028.99,3973.76,3988.78,4010.09,4011.27,4079.84,4098.8,4100.04,4139.59,4170.72,4139.12,4094.4,4079.82,4087.3,4119.94,4133.32,4144.46,4147.27,4175.54,4188.13,4233.61,4264.65,4265.34,4291.43,4283.34,4305.22,4338.88,4382.55,4390.57,4397.3,4404.2,4395.2,4454.96,4483.94,4485.83,4461.51,4481.11,4496.4,4470.7,4415.53,4306.2,4098.39,4179.36,4178.03,4229.17,4272.99,4325.3,4403.63,4367.48,4320.89,4284.23,4388.09,4382.33,4442.43,4402.27,4385.49,4383.14,4442.78,4483,4526.29,4521.42,4556.73,4475.21,4479.56,4500.42,4568.74,4576.1,4581.09,4573.1,4606.02,4599.88,4609.2,4616.01,4652.11,4670.36,4708.66,4714.44,4718.03,4734.96,4708.51,4702.4,4713.22,4730.81,4737.71,4607.47,4631,4271.71,4507.35,4590.78,4603.53,4620.73,4600.7,4652.33,4624.57,4674.6,4670.11,4681.69,4739.16,4780.88,4746.04
"National Accounts: Real Gross Domestic Product [GDP], (Bil. 2010 EUR, SAAR)",Moody's Analytics Calculated and Forecasted,QUARTERLY,Middle East and Africa,1134.59,1144.22,1152.46,1162.46,1173.25,1181.83,1184.77,1182.48,1179.63,1184.35,1194.56,1217.9,1241.44,1262.62,1278.5,1281.48,1284.16,1285.03,1288.21,1293.84,1304.49,1315.62,1331.23,1354.5,1377.82,1401.35,1425.35,1448.52,1477.67,1500.28,1524.35,1540.62,1561.5,1582.88,1605.57,1631.73,1657.34,1686.08,1706.96,1728.04,1749.54,1765.33,1790.32,1819.19,1848.7,1873.83,1886.44,1879.99,1869.86,1873.99,1884.64,1909.33,1940.45,1964.51,1988.02,2055.37,2058.37,2089.72,2119.28,2144.88,2175.66,2187.75,2204.31,2219.74,2237.82,2268.81,2293.33,2304.52,2338.85,2359.02,2374.18,2387.16,2422.89,2443.94,2452.37,2457.1,2479.97,2491.22,2501.64,2509.05,2509.86,2522.74,2534.86,2535.14,2560.22,2581.04,2593.64,2605.02,2607.89,2629.55,2630.65,2640.84,2619.59,2443.96,2520.66,2553.3,2586.1,2629.42,2664.93,2715.46,2749.6,2782.98,2816.29,2826.26,2837.37,2850.7,2831.78
"National Accounts: Real Gross Domestic Product [GDP], (Bil. 2010 EUR, SAAR)",United Nations Statistics Division (UNSD); The World Bank; Moody's Analytics Estimated and Forecasted,QUARTERLY,Qatar,20.3,21.91,23.01,23.54,24.08,24.6,24.96,25.11,25.27,25.43,25.82,26.46,27.1,27.74,28.13,28.28,28.42,28.56,28.96,29.65,30.33,31,31.32,31.24,31.17,31.1,32.07,34.14,36.2,38.25,39.33,39.41,39.48,39.55,41.17,44.43,47.65,50.86,53.54,55.64,57.71,59.78,62.29,65.28,68.25,71.2,73.59,75.37,77.13,78.89,81.58,85.26,89.58,88.92,96.32,102.17,103.14,107.01,108.57,107.37,110.23,111.05,111.62,113.32,116.57,117.17,118.47,118.81,122.9,122.51,124.17,126.57,127.04,129.95,130.1,132.64,132,134.84,135.97,132.86,131.72,131.18,131.5,133.23,132.55,133.3,133.74,134.56,134.88,133.81,135.07,134.07,131.13,129.35,128.77,129.45,130.11,130.78,131.96,133.7,135.41,137.12,138.84,140.58,141.4,142.19,143
"National Accounts: Real Gross Domestic Product [GDP], (Bil. 2010 EUR, SAAR)",Federal State Statistics Service (Rosstat); Moody's Analytics Forecasted,QUARTERLY,Russian Federation,683.79,677.72,695.64,700.95,673.28,670.36,634.8,637.19,660.99,690.65,708.09,714.51,753.01,757.59,766.88,777.37,788.41,795.25,813.75,812.62,818.48,829.18,850.87,862.6,877.56,887.35,902.32,918.78,936.05,954.08,968.54,979.36,996.48,1011.65,1029.48,1050.71,1071,1091.62,1116.68,1137.89,1158.53,1187.76,1213.96,1252.73,1285.97,1293.97,1274.67,1233.22,1189.72,1172.36,1177.17,1189.93,1215.41,1226.97,1233.35,1248.69,1265.55,1276.07,1289.71,1301.24,1321.4,1324.31,1336.57,1336.4,1345.93,1350.6,1350.79,1360.6,1356.22,1365.49,1356.7,1357.32,1345.24,1339.28,1339.15,1335.66,1337.92,1339.57,1341.07,1350.37,1354.24,1361.4,1372.77,1372.96,1390.78,1394.77,1403.92,1409.97,1419.54,1423.82,1438.06,1433.91,1430.71,1323.57,1419.31,1430.91,1441.3,1464.18,1471.71,1486.48,1488.45,1420.15,1430.3,1446.99,1463.19,1476.84,1490
"National Accounts: Real Gross Domestic Product [GDP], (Bil. 2010 EUR, SAAR)",U.S. Bureau of Economic Analysis (BEA); Moody's Analytics Forecasted,QUARTERLY,United States,8179.67,8315.88,8419.71,8491.6,8576.83,8656.23,8765.21,8906.25,8989.92,9064.97,9185.16,9335.85,9369.72,9540.37,9550.1,9607.12,9575.62,9635.42,9596.82,9623.19,9703.68,9763.13,9802.82,9814.94,9866.62,9954.01,10119.56,10237.02,10295.03,10374.81,10473.23,10580.07,10697.45,10750.14,10834.4,10894.59,11041.17,11069.74,11086.33,11181.62,11215.25,11283.87,11348.86,11420.16,11371.42,11439.13,11379.05,11129.96,11003.65,10983.99,11022.56,11141.71,11195.69,11304.02,11391.18,11451,11423.83,11501.13,11498.56,11627.69,11725.2,11777.54,11794.5,11808.14,11924.63,11956.55,12058.35,12163.46,12121.49,12278.08,12427.3,12490.15,12602.63,12680.69,12731.44,12754.93,12828.84,12870.04,12961.34,13033.18,13096.64,13169.97,13273.81,13423.42,13532.6,13604.44,13689.29,13708.68,13783.13,13897.49,14054.83,14144.97,13952.19,12851.22,13848.37,13991.74,14171.6,14386.97,14504.14,14750.24,14676.83,14656.1,14752.62,14846.37,14928.97,15005.27,15184.42
"National Accounts: Real Gross Domestic Product [GDP], (Bil. 2010 EUR, SAAR)",South African Reserve Bank (SARB); Moody's Analytics Forecasted,QUARTERLY,South Africa,207.67,208.97,209.18,209.21,209.76,210.06,209.6,209.8,211.82,213.5,215.83,218.21,220.76,222.79,224.99,226.91,228.3,229.44,230.05,231.82,234.34,237.31,240,242,243.53,244.72,246.05,247.47,251.22,254.73,258.89,261.66,264.32,269.06,272.73,274.55,279.38,283.35,287.26,291.23,295.96,298.39,301.88,306.16,307.45,311.2,311.95,310.17,305.34,304.3,305,307.04,310.62,313.23,316.01,318.96,322.1,323.9,325.24,327.46,329.32,332.07,333.42,335.01,337.61,340.07,341.68,343.52,343.04,344.4,346.05,348.65,351.16,348.2,349.77,351.28,352.12,352.46,352.42,352.72,354.38,356.32,356.97,358.37,360.27,359.37,363.79,364.8,361.62,363.25,363.63,363.5,364.36,302.82,344.4,353.84,356.11,360.73,353.97,358.83,364.32,361.28,367.68,363.66,365.14,366.81,365.9
